self-test: enumeration reproduces PV-21 and the involution counts 1,2,4,10,26,76,232,764
length 17: sweeping self-dual permutations ending in 1 (= I(16) of them) in 27940 work units on 12 workers
  [20/27940] checked 661,176  1,578/s  elapsed 7.0m
  [6500/27940] checked 16,575,608  4,693/s  elapsed 58.9m
  [6520/27940] checked 16,594,600  4,698/s  elapsed 58.9m
  [6540/27940] checked 16,613,592  4,704/s  elapsed 58.9m
  [6560/27940] checked 16,632,584  4,704/s  elapsed 58.9m
  [6580/27940] checked 16,651,576  4,698/s  elapsed 59.1m
  [6600/27940] checked 16,670,568  4,699/s  elapsed 59.1m
  [6620/27940] checked 16,713,140  4,691/s  elapsed 59.4m
  [6640/27940] checked 16,733,988  4,697/s  elapsed 59.4m
  [6660/27940] checked 16,752,980  4,702/s  elapsed 59.4m
  [6680/27940] checked 16,771,972  4,704/s  elapsed 59.4m
  [6700/27940] checked 16,790,964  4,700/s  elapsed 59.5m
  [6720/27940] checked 16,809,956  4,696/s  elapsed 59.7m
  [6740/27940] checked 16,850,672  4,676/s  elapsed 60.1m
  [6760/27940] checked 16,873,376  4,682/s  elapsed 60.1m
  [6780/27940] checked 16,892,368  4,687/s  elapsed 60.1m
  [6800/27940] checked 16,911,360  4,691/s  elapsed 60.1m
  [6820/27940] checked 16,930,352  4,691/s  elapsed 60.2m
  [6840/27940] checked 16,949,344  4,688/s  elapsed 60.3m
  [6860/27940] checked 16,988,204  4,665/s  elapsed 60.7m
  [6880/27940] checked 17,012,764  4,672/s  elapsed 60.7m
  [6900/27940] checked 17,031,756  4,677/s  elapsed 60.7m
  [6920/27940] checked 17,050,748  4,682/s  elapsed 60.7m
  [6940/27940] checked 17,069,740  4,682/s  elapsed 60.8m
  [6960/27940] checked 17,088,732  4,687/s  elapsed 60.8m
  [6980/27940] checked 17,125,736  4,654/s  elapsed 61.3m
  [7000/27940] checked 17,152,152  4,661/s  elapsed 61.3m
  [7020/27940] checked 17,171,144  4,666/s  elapsed 61.3m
  [7040/27940] checked 17,190,136  4,671/s  elapsed 61.3m
  [7060/27940] checked 17,209,128  4,676/s  elapsed 61.3m
  [7080/27940] checked 17,228,120  4,676/s  elapsed 61.4m
  [7100/27940] checked 17,263,268  4,653/s  elapsed 61.8m
  [7120/27940] checked 17,291,540  4,660/s  elapsed 61.8m
  [7140/27940] checked 17,310,532  4,665/s  elapsed 61.8m
  [7160/27940] checked 17,329,524  4,667/s  elapsed 61.9m
  [7180/27940] checked 17,348,516  4,665/s  elapsed 62.0m
  [7200/27940] checked 17,367,508  4,664/s  elapsed 62.1m
  [7220/27940] checked 17,400,800  4,643/s  elapsed 62.5m
  [7240/27940] checked 17,430,928  4,651/s  elapsed 62.5m
  [7260/27940] checked 17,449,920  4,656/s  elapsed 62.5m
  [7280/27940] checked 17,468,912  4,661/s  elapsed 62.5m
  [7300/27940] checked 17,487,904  4,660/s  elapsed 62.6m
  [7320/27940] checked 17,506,896  4,663/s  elapsed 62.6m
  [7340/27940] checked 17,585,160  4,581/s  elapsed 64.0m
  [7360/27940] checked 17,706,320  4,612/s  elapsed 64.0m
  [7380/27940] checked 17,765,596  4,628/s  elapsed 64.0m
  [7400/27940] checked 17,831,748  4,645/s  elapsed 64.0m
  [7420/27940] checked 17,897,900  4,662/s  elapsed 64.0m
  [7440/27940] checked 17,964,052  4,656/s  elapsed 64.3m
  [7460/27940] checked 18,030,204  4,657/s  elapsed 64.5m
  [7480/27940] checked 18,089,480  4,662/s  elapsed 64.7m
  [7500/27940] checked 18,133,908  4,673/s  elapsed 64.7m
  [7520/27940] checked 18,152,900  4,676/s  elapsed 64.7m
  [7540/27940] checked 18,171,892  4,677/s  elapsed 64.8m
  [7560/27940] checked 18,190,884  4,677/s  elapsed 64.8m
  [7580/27940] checked 18,209,876  4,673/s  elapsed 64.9m
  [7600/27940] checked 18,228,868  4,674/s  elapsed 65.0m
  [7620/27940] checked 18,273,296  4,668/s  elapsed 65.2m
  [7640/27940] checked 18,292,288  4,673/s  elapsed 65.2m
  [7660/27940] checked 18,311,280  4,677/s  elapsed 65.3m
  [7680/27940] checked 18,330,272  4,676/s  elapsed 65.3m
  [7700/27940] checked 18,349,264  4,680/s  elapsed 65.3m
  [7720/27940] checked 18,368,256  4,679/s  elapsed 65.4m
  [7740/27940] checked 18,412,684  4,670/s  elapsed 65.7m
  [7760/27940] checked 18,431,676  4,675/s  elapsed 65.7m
  [7780/27940] checked 18,450,668  4,680/s  elapsed 65.7m
  [7800/27940] checked 18,469,660  4,682/s  elapsed 65.7m
  [7820/27940] checked 18,488,652  4,684/s  elapsed 65.8m
  [7840/27940] checked 18,507,644  4,682/s  elapsed 65.9m
  [7860/27940] checked 18,552,072  4,684/s  elapsed 66.0m
  [7880/27940] checked 18,571,064  4,689/s  elapsed 66.0m
  [7900/27940] checked 18,590,056  4,687/s  elapsed 66.1m
  [7920/27940] checked 18,609,048  4,686/s  elapsed 66.2m
  [7940/27940] checked 18,628,040  4,687/s  elapsed 66.2m
  [7960/27940] checked 18,647,032  4,688/s  elapsed 66.3m
  [7980/27940] checked 18,691,460  4,675/s  elapsed 66.6m
  [8000/27940] checked 18,710,452  4,680/s  elapsed 66.6m
